task_id,task_name,architecture,runs,success_count,success_rate,avg_turns,avg_tool_calls,avg_total_tokens,avg_estimated_cost
finalpool/arrange-workspace,Arrange Workspace,multi,1,0,0.0,1.0,13.0,165976.0,0.356
finalpool/arrange-workspace,Arrange Workspace,single,1,0,0.0,1.0,30.0,308657.0,0.468
finalpool/detect-revised-terms,Detect Revised Terms,multi,1,0,0.0,1.0,34.0,775578.0,1.276
finalpool/detect-revised-terms,Detect Revised Terms,single,1,0,0.0,1.0,17.0,530299.0,0.857
finalpool/excel-data-transformation,Excel Data Transformation,multi,1,0,0.0,1.0,5.0,150774.0,0.23
finalpool/excel-data-transformation,Excel Data Transformation,single,1,0,0.0,1.0,14.0,1254345.0,1.653
finalpool/inventory-sync,Inventory Sync,multi,1,0,0.0,1.0,9.0,474455.0,0.683
finalpool/inventory-sync,Inventory Sync,single,1,0,0.0,1.0,9.0,406904.0,0.62
finalpool/k8s-pr-preview-testing,K8S PR Preview Testing,multi,1,0,0.0,1.0,13.0,190178.0,0.322
finalpool/k8s-pr-preview-testing,K8S PR Preview Testing,single,1,0,0.0,1.0,11.0,0.0,0.0
finalpool/paper-checker,Paper Checker,multi,1,0,0.0,1.0,27.0,1110167.0,1.571
finalpool/paper-checker,Paper Checker,single,1,0,0.0,1.0,33.0,1522686.0,2.074
finalpool/ppt-analysis,PPT Analysis,multi,1,0,0.0,1.0,5.0,113341.0,0.19
finalpool/ppt-analysis,PPT Analysis,single,1,0,0.0,1.0,5.0,110225.0,0.185
finalpool/privacy-desensitization,Privacy Desensitization,multi,1,0,0.0,1.0,3.0,35613.0,0.148
finalpool/privacy-desensitization,Privacy Desensitization,single,1,0,0.0,1.0,1.0,12853.0,0.056
finalpool/reimbursement-form-filler,Reimbursement Form Filler,multi,1,0,0.0,1.0,45.0,124953.0,0.257
finalpool/reimbursement-form-filler,Reimbursement Form Filler,single,1,0,0.0,1.0,7.0,74385.0,0.171
finalpool/woocommerce-update-cover,WooCommerce Update Cover,multi,1,1,1.0,1.0,8.0,353271.0,0.558
finalpool/woocommerce-update-cover,WooCommerce Update Cover,single,1,1,1.0,1.0,17.0,1241646.0,1.742
